DataZone,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
S92000003,55147.0,53076.0,52527.0,51270.0,52432.0,53957.0,54386.0,55690.0,57781.0,60041.0,59046.0,58791.0,58590.0,58027.0,56014.0,56725.0,55098.0,54488.0,52861.0,51308.0
S12000033,2311.0,2088.0,2097.0,2098.0,2003.0,2075.0,2061.0,2200.0,2417.0,2596.0,2564.0,2599.0,2608.0,2688.0,2500.0,2565.0,2609.0,2521.0,2402.0,2337.0
S12000034,2501.0,2320.0,2247.0,2326.0,2368.0,2388.0,2465.0,2589.0,2690.0,2771.0,2903.0,2727.0,2695.0,2867.0,2697.0,2836.0,2891.0,2811.0,2659.0,2697.0
S12000041,1085.0,1049.0,1103.0,1014.0,1089.0,1071.0,1095.0,1110.0,1152.0,1194.0,1165.0,1096.0,1155.0,1156.0,1111.0,1147.0,1065.0,1025.0,1054.0,964.0
S12000035,834.0,792.0,780.0,755.0,732.0,807.0,773.0,781.0,741.0,807.0,815.0,763.0,745.0,765.0,709.0,727.0,688.0,699.0,665.0,648.0
S12000036,4764.0,4643.0,4489.0,4477.0,4577.0,4568.0,4691.0,4894.0,5056.0,5440.0,5475.0,5552.0,5560.0,5606.0,5486.0,5554.0,5274.0,5300.0,5033.0,4899.0
S12000005,544.0,490.0,529.0,480.0,468.0,501.0,528.0,546.0,634.0,644.0,610.0,620.0,564.0,627.0,550.0,557.0,553.0,505.0,536.0,465.0
S12000006,1402.0,1369.0,1283.0,1343.0,1307.0,1431.0,1407.0,1471.0,1507.0,1430.0,1507.0,1445.0,1396.0,1390.0,1327.0,1286.0,1256.0,1318.0,1248.0,1198.0
S12000042,1522.0,1462.0,1468.0,1436.0,1548.0,1539.0,1545.0,1567.0,1668.0,1801.0,1768.0,1745.0,1765.0,1718.0,1590.0,1714.0,1555.0,1576.0,1493.0,1488.0
S12000008,1290.0,1228.0,1198.0,1157.0,1236.0,1271.0,1258.0,1316.0,1304.0,1371.0,1362.0,1334.0,1362.0,1358.0,1342.0,1254.0,1327.0,1275.0,1151.0,1176.0
S12000045,1057.0,972.0,983.0,942.0,948.0,889.0,930.0,922.0,892.0,970.0,929.0,924.0,924.0,894.0,925.0,927.0,971.0,951.0,1036.0,950.0
S12000010,968.0,1013.0,940.0,910.0,953.0,950.0,1054.0,1056.0,1101.0,1182.0,1062.0,1123.0,1126.0,1079.0,1057.0,1012.0,1061.0,1041.0,971.0,1020.0
S12000011,953.0,931.0,954.0,916.0,883.0,941.0,898.0,858.0,893.0,868.0,848.0,872.0,807.0,881.0,880.0,853.0,871.0,861.0,886.0,854.0
