Generated by http://statistics.gov.scot,2020-06-18T15:34:59+00:00
http://statistics.gov.scot/data/births,Births
measure type,Count
Gender,All
Time Period,Calendar Year
Measure (cell values): ,Count(Births)

,,http://reference.data.gov.uk/id/year/1999,http://reference.data.gov.uk/id/year/2000,http://reference.data.gov.uk/id/year/2001,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016,http://reference.data.gov.uk/id/year/2017,http://reference.data.gov.uk/id/year/2018
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,55147,53076,52527,51270,52432,53957,54386,55690,57781,60041,59046,58791,58590,58027,56014,56725,55098,54488,52861,51308
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,2311,2088,2097,2098,2003,2075,2061,2200,2417,2596,2564,2599,2608,2688,2500,2565,2609,2521,2402,2337
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,2501,2320,2247,2326,2368,2388,2465,2589,2690,2771,2903,2727,2695,2867,2697,2836,2891,2811,2659,2697
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1085,1049,1103,1014,1089,1071,1095,1110,1152,1194,1165,1096,1155,1156,1111,1147,1065,1025,1054,964
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,834,792,780,755,732,807,773,781,741,807,815,763,745,765,709,727,688,699,665,648
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,4764,4643,4489,4477,4577,4568,4691,4894,5056,5440,5475,5552,5560,5606,5486,5554,5274,5300,5033,4899
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,544,490,529,480,468,501,528,546,634,644,610,620,564,627,550,557,553,505,536,465
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,1402,1369,1283,1343,1307,1431,1407,1471,1507,1430,1507,1445,1396,1390,1327,1286,1256,1318,1248,1198
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,1522,1462,1468,1436,1548,1539,1545,1567,1668,1801,1768,1745,1765,1718,1590,1714,1555,1576,1493,1488
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,1290,1228,1198,1157,1236,1271,1258,1316,1304,1371,1362,1334,1362,1358,1342,1254,1327,1275,1151,1176
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,1057,972,983,942,948,889,930,922,892,970,929,924,924,894,925,927,971,951,1036,950
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,968,1013,940,910,953,950,1054,1056,1101,1182,1062,1123,1126,1079,1057,1012,1061,1041,971,1020
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,953,931,954,916,883,941,898,858,893,868,848,872,807,881,880,853,871,861,886,854
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,1603,1555,1448,1507,1595,1735,1738,1757,1892,1949,1874,1874,1757,1806,1668,1716,1594,1565,1567,1493
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,3655,3498,3642,3536,3642,3735,3831,3999,4076,4349,4135,4172,4268,4019,3872,3889,3755,3739,3465,3479
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,6830,6578,6645,6386,6573,6612,6833,6617,7154,7371,7512,7565,7631,7543,7254,7465,7086,6833,6852,6548
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,2223,2153,2131,1977,2085,2175,2233,2159,2332,2482,2374,2467,2345,2380,2233,2310,2220,2150,2089,2005
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,947,863,850,787,830,898,902,846,857,860,813,791,814,766,754,744,711,706,667,689
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,962,924,922,863,847,881,867,887,937,938,947,994,979,1060,1016,1033,1082,1088,1107,1075
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,973,912,869,876,824,854,878,899,1001,956,966,928,973,915,956,931,905,939,856,825
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,265,228,226,242,255,223,233,274,263,257,227,235,235,237,246,226,222,238,215,206
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,1414,1393,1421,1379,1382,1406,1379,1501,1528,1481,1498,1450,1452,1346,1307,1284,1255,1244,1193,1125
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,3859,3832,3676,3664,3771,4005,3834,4001,4045,4182,4067,3929,3993,3740,3738,3719,3716,3511,3558,3387
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,188,152,174,164,171,171,180,213,190,214,199,197,205,201,201,181,191,178,184,186
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,1372,1335,1334,1245,1292,1285,1347,1331,1391,1443,1425,1466,1447,1277,1320,1357,1357,1325,1210,1217
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,1980,2007,1796,1797,1785,1885,1869,1838,1898,2012,1869,1995,1828,1960,1791,1813,1712,1773,1794,1697
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,1054,1068,1066,1021,1048,1052,1047,1111,1170,1138,1159,1161,1108,1140,1138,1081,1037,1005,989,984
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,284,226,247,209,251,230,227,268,244,278,273,266,242,276,261,253,234,266,218,215
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,1036,1050,1056,955,984,1030,976,1012,1029,1067,1054,1035,1073,997,998,1033,1030,976,937,932
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,3342,3162,3161,3076,3092,3358,3322,3524,3452,3689,3467,3418,3502,3375,3272,3402,3185,3315,3205,3153
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,882,876,840,833,866,934,873,908,878,862,863,836,833,821,807,841,792,807,804,757
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,1051,1008,972,939,984,999,1000,1044,1105,1104,1082,1044,1064,1054,979,986,924,958,891,885
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,1996,1899,1980,1960,2043,2058,2112,2191,2284,2335,2234,2168,2134,2085,2029,2029,1969,1989,1926,1754
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,736,681,692,697,643,676,710,702,858,920,966,966,963,1000,898,930,919,900,798,752
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,908,822,814,827,815,866,791,907,928,1010,917,940,968,969,963,985,951,964,978,957
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,827,730,727,720,701,685,704,730,759,791,810,833,832,899,807,849,993,862,822,825
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,785,689,671,705,704,729,771,819,849,899,942,865,828,898,855,939,877,834,856,855
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,631,641,637,656,653,661,716,734,807,790,809,778,771,768,729,779,804,781,704,742
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,800,758,740,756,788,785,751,826,825,840,851,774,839,805,786,789,773,696,723,713
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,1113,1054,1115,1073,1129,1146,1083,1106,1092,1142,1075,980,993,961,974,925,911,919,853,815
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,651,638,637,581,669,671,678,719,681,744,744,695,692,758,728,724,768,692,686,622
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,672,672,689,664,695,667,700,685,739,728,707,661,726,711,665,690,604,637,629,583
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,619,523,528,494,485,550,528,524,519,553,577,555,516,519,505,521,502,498,452,467
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,725,720,696,638,656,677,652,674,695,731,699,694,744,663,662,709,671,636,602,614
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,823,730,698,710,691,727,673,730,749,841,871,817,809,852,808,808,796,824,773,767
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",712,644,650,597,608,633,686,613,709,728,701,719,653,722,630,631,642,598,555,592
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",765,740,735,680,731,755,715,782,748,794,801,770,736,754,758,697,808,752,693,711
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,664,625,631,614,614,665,659,691,763,771,737,719,672,720,654,654,636,606,618,554
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,844,753,763,744,698,707,745,734,771,787,744,736,737,710,716,678,671,688,654,615
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,760,680,680,674,651,682,697,698,700,802,716,755,779,635,679,715,627,635,637,634
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,731,772,728,678,786,839,834,874,856,921,907,871,877,856,803,828,808,752,733,731
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,801,735,821,783,755,802,765,853,820,896,912,888,903,852,791,839,759,766,717,670
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,842,824,739,744,731,837,788,777,764,781,728,703,721,662,611,627,636,621,685,608
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,691,653,690,676,698,668,666,675,708,691,695,678,636,614,594,578,597,542,491,549
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,723,740,731,703,684,738,713,826,821,790,803,772,816,732,713,706,658,702,702,576
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,708,787,714,701,763,780,744,782,777,808,781,712,772,790,702,729,651,702,667,670
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,718,683,641,663,655,693,723,726,756,731,771,718,680,679,655,647,598,643,633,612
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,805,747,731,769,793,782,773,808,847,893,907,924,902,874,786,877,776,751,726,723
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,719,714,736,666,755,757,772,759,817,907,861,821,863,844,804,837,779,825,767,765
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,681,687,728,714,781,787,881,864,894,908,866,875,950,793,797,860,850,853,775,783
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,889,775,768,741,741,835,761,833,774,803,759,765,700,794,719,748,748,744,719,766
